АВС/ DEF;От;До;Емкость;Оператор;Регион
900;3750000;3849999;100000;ООО "ЕКАТЕРИНБУРГ-2000";Курганская обл.
900;3850000;3949999;100000;ООО "ЕКАТЕРИНБУРГ-2000";Ханты-Мансийский АО - Югра
900;3950000;4049999;100000;ООО "ЕКАТЕРИНБУРГ-2000";Ямало-Ненецкий АО
900;4050000;4149999;100000;ООО "Т2 Мобайл";Магаданская обл.
900;4150000;4249999;100000;ООО "Т2 Мобайл";Еврейская автономная обл.
900;4250000;4349999;100000;ООО "Т2 Мобайл";Сахалинская обл.
900;4350000;4449999;100000;ООО "Т2 Мобайл";Камчатский край
900;4450000;4459999;10000;ООО "Т2 Мобайл";Чукотский АО
900;4460000;4549999;90000;ООО "Т2 Мобайл";Ульяновская обл.
900;4550000;4649999;100000;АО "Теле2-Санкт-Петербург";Республика Карелия
900;4650000;4650999;1000;ООО "Газпром телеком";г. Москва и Московская область
900;4651000;4654999;4000;ООО "СИМ ТЕЛЕКОМ";г. Москва * Московская область
900;4655000;4664999;10000;ООО "Т2 Мобайл";Ульяновская обл.
900;4665000;4714999;50000;ООО "Т2 Мобайл";Пензенская обл.
900;4715000;4734999;20000;ООО "Т2 Мобайл";Тверская обл.
900;4735000;4834999;100000;ООО "Т2 Мобайл";Владимирская обл.
900;4835000;4884999;50000;ООО "Т2 Мобайл";Орловская обл.
900;4885000;4894999;10000;ООО "Т2 Мобайл";Сахалинская обл.
900;4895000;4899999;5000;ООО "СИМ ТЕЛЕКОМ";г. Москва * Московская область
900;4900000;4999999;100000;ООО "Т2 Мобайл";Тамбовская обл.
900;5000000;5099999;100000;АО "Теле2-Санкт-Петербург";Вологодская обл.
900;5100000;5199999;100000;ООО "Т2 Мобайл";Тамбовская обл.
900;5200000;5299999;100000;ООО "Т2 Мобайл";Кировская обл.
900;5300000;5549999;250000;АО "Теле2-Санкт-Петербург";Вологодская обл.
900;5550000;5559999;10000;ООО "СИМ ТЕЛЕКОМ";г. Москва * Московская область
900;5560000;5609999;50000;АО "Теле2-Санкт-Петербург";Вологодская обл.
900;5610000;5709999;100000;ООО "Т2 Мобайл";Калининградская обл.
900;5710000;5809999;100000;ООО "Т2 Мобайл";Калужская обл.
900;5810000;5909999;100000;ООО "Т2 Мобайл";Владимирская обл.
900;5910000;6009999;100000;ООО "Т2 Мобайл";Липецкая обл.
900;6010000;6109999;100000;ООО "Т2 Мобайл";Рязанская обл.
900;6110000;6199999;90000;ООО "СИМ ТЕЛЕКОМ";г. Москва * Московская область
900;6200000;6599999;400000;АО "Теле2-Санкт-Петербург";г. Санкт-Петербург * Ленинградская область
900;6600000;6699999;100000;ООО "Т2 Мобайл";Сахалинская обл.
900;6700000;6799999;100000;ООО "Т2 Мобайл";Омская обл.
900;6800000;6899999;100000;ООО "Т2 Мобайл";Камчатский край
900;6900000;6999999;100000;ООО "Т2 Мобайл";Брянская обл.
900;7000000;7499999;500000;ООО "Антарес";г. Москва * Московская область
900;7500000;7699999;200000;ООО "Антарес";Свердловская область
900;7700000;7899999;200000;ООО "Антарес";Челябинская область
900;7900000;7999999;100000;ООО "Антарес";Воронежская область
900;8000000;8124999;125000;ООО "Интеграл";Краснодарский край
900;8125000;8125999;1000;ООО "Интеграл";Ставропольский край
900;8126000;8249999;124000;ООО "Интеграл";Ростовская область
900;8250000;8374999;125000;ООО "Интеграл";Волгоградская область
900;8375000;8375999;1000;ООО "Интеграл";Томская область
900;8376000;8376999;1000;ООО "Интеграл";Хабаровский край
900;8377000;8499999;123000;ООО "Интеграл";Иркутская область
900;8500000;8998999;499000;ООО "Арктур";г. Санкт - Петербург и Ленинградская область
900;8999000;8999999;1000;ООО "Арктур";Самарская область
900;9000000;9009999;10000;ООО "Газпром телеком";г. Москва и Московская область
900;9010000;9109999;100000;ООО "Т2 Мобайл";Рязанская обл.
900;9110000;9209999;100000;ООО "Т2 Мобайл";Архангельская обл.
900;9210000;9239999;30000;ООО "Т2 Мобайл";Томская обл.
900;9240000;9339999;100000;ООО "Т2 Мобайл";Воронежская обл.
900;9340000;9439999;100000;ООО "Т2 Мобайл";Мурманская обл.
900;9440000;9639999;200000;ООО "Т2 Мобайл";Воронежская обл.
900;9640000;9739999;100000;ООО "Т2 Мобайл";Рязанская обл.
900;9740000;9839999;100000;ООО "Т2 Мобайл";Республика Коми
900;9840000;9849999;10000;ООО "Т2 Мобайл";Тамбовская обл.
900;9850000;9899999;50000;ООО "Т2 Мобайл";Липецкая обл.
900;9900000;9999999;100000;АО "Теле2-Санкт-Петербург";Псковская обл.
901;0000000;0009999;10000;ООО "Т2 Мобайл";Ростовская обл.
901;0010000;0019999;10000;ООО "Т2 Мобайл";Республика Северная Осетия - Алания
901;0020000;0099999;80000;ООО "Т2 Мобайл";Краснодарский край
901;0100000;0134999;35000;ООО "Т2 Мобайл";Республика Адыгея
901;0135000;0135049;50;ООО "Т2 Мобайл";Пензенская обл.
901;0135050;0135099;50;ООО "Т2 Мобайл";Республика Татарстан
901;0135100;0135299;200;ООО "Т2 Мобайл";Кабардино-Балкарская Республика
901;0135300;0135499;200;ООО "Т2 Мобайл";Республика Бурятия
901;0135500;0135599;100;ООО "Т2 Мобайл";Красноярский край
901;0135600;0135699;100;ООО "Т2 Мобайл";Забайкальский край
901;0135700;0135799;100;ООО "Т2 Мобайл";Корякский округ|Камчатский край
901;0135800;0135899;100;ООО "Т2 Мобайл";Республика Калмыкия
901;0135900;0135999;100;ООО "Т2 Мобайл";Республика Алтай
901;0136000;0136099;100;ООО "Т2 Мобайл";Республика Тыва
901;0136100;0136199;100;ООО "Т2 Мобайл";Иркутская обл.
901;0136200;0136299;100;ООО "Т2 Мобайл";Ставропольский край
901;0136300;0136399;100;ООО "Т2 Мобайл";Красноярский край
901;0136400;0136499;100;ООО "Т2 Мобайл";Липецкая обл.
901;0136500;0136599;100;ООО "Т2 Мобайл";Карачаево-Черкесская Республика
901;0136600;0136699;100;ООО "Т2 Мобайл";Забайкальский край
901;0136700;0136799;100;ООО "Т2 Мобайл";Еврейская автономная обл.
901;0136800;0136899;100;ООО "Т2 Мобайл";Амурская обл.
901;0136900;0136999;100;ООО "Т2 Мобайл";Камчатский край
901;0137000;0137099;100;ООО "Т2 Мобайл";Владимирская обл.
901;0137100;0137199;100;ООО "МиАТел";г. Санкт-Петербург * Ленинградская область
901;0140000;0169999;30000;ООО "Т2 Мобайл";Краснодарский край
901;0170000;0199999;30000;ООО "Т2 Мобайл";Республика Тыва
901;0200000;0209999;10000;ООО "Т2 Мобайл";Республика Дагестан
901;0300000;0399999;100000;ООО "Т2 Мобайл";Ивановская обл.
901;0400000;0499999;100000;ООО "Т2 Мобайл";Ярославская обл.
901;0500000;0599999;100000;ООО "Т2 Мобайл";Ярославская обл.
901;0777000;0777999;1000;ОАО "МТТ";г. Москва * Московская область
901;0800000;0899999;100000;ООО "Т2 Мобайл";Оренбургская обл.
901;0920000;0939999;20000;ООО "Т2 Мобайл";Воронежская обл.
901;0940000;0949999;10000;ООО "Т2 Мобайл";Рязанская обл.
901;0950000;0999999;50000;ООО "Т2 Мобайл";Оренбургская обл.
901;1000000;1059999;60000;ООО "Т2 Мобайл";Краснодарский край
901;1060000;1069999;10000;ООО "Т2 Мобайл";Ростовская обл.
901;1070000;1079999;10000;ООО "Т2 Мобайл";Краснодарский край
901;1080000;1089999;10000;ОАО "МТТ";Омская обл.
901;1090000;1099999;10000;ООО "Т2 Мобайл";Оренбургская обл.
901;1100000;1109999;10000;ПАО "Ростелеком";Тверская обл.
901;1110000;1119999;10000;ООО "Т2 Мобайл";Красноярский край
901;1120000;1159999;40000;ООО "Т2 Мобайл";Оренбургская обл.
901;1160000;1169999;10000;ОАО "МТТ";г. Москва * Московская область
901;1170000;1239999;70000;ООО "Т2 Мобайл";Тверская обл.
901;1240000;1249999;10000;ООО "Т2 Мобайл";Кемеровская обл.
901;1250000;1269999;20000;ООО "Т2 Мобайл";Тверская обл.
901;1270000;1279999;10000;ООО "Т2 Мобайл";Калужская обл.
901;1280000;1289999;10000;ООО "Т2 Мобайл";Тверская обл.
901;1290000;1299999;10000;ОАО "МТТ";г. Москва * Московская область
901;1300000;1314999;15000;ООО "Т2 Мобайл";Волгоградская обл.
901;1315000;1315099;100;ООО "Т2 Мобайл";Республика Марий Эл
901;1315100;1315199;100;ООО "Т2 Мобайл";Чувашская Республика - Чувашия
901;1315200;1315299;100;ООО "Т2 Мобайл";Брянская обл.
901;1315300;1315399;100;ООО "Т2 Мобайл";Республика Мордовия
901;1315400;1315499;100;ООО "Т2 Мобайл";Кемеровская обл.
901;1315500;1315599;100;ООО "Т2 Мобайл";Воронежская обл.
901;1315600;1315699;100;ООО "Т2 Мобайл";Томская обл.
901;1315700;1315799;100;ООО "Т2 Мобайл";Чувашская Республика - Чувашия
901;1315800;1315899;100;ООО "Т2 Мобайл";Удмуртская Республика
901;1315900;1315999;100;ООО "Т2 Мобайл";Астраханская обл.
901;1316000;1316099;100;ООО "Т2 Мобайл";Ростовская обл.
901;1316100;1316199;100;ООО "Т2 Мобайл";Омская обл.
901;1316200;1316299;100;ООО "Т2 Мобайл";Республика Мордовия
901;1316300;1316399;100;ООО "Т2 Мобайл";Ростовская обл.
901;1330000;1339999;10000;ОАО "МТТ";г. Москва * Московская область
901;1340000;1349999;10000;ООО "Т2 Мобайл";Приморский край
901;1350000;1379999;30000;ООО "Т2 Мобайл";Республика Тыва
901;1380000;1389999;10000;ООО "Т2 Мобайл";Приморский край
901;1400000;1419999;20000;ПАО "Ростелеком";Владимирская обл.
901;1420000;1429999;10000;ОАО "МТТ";Воронежская обл.
901;1440000;1449999;10000;ООО "Т2 Мобайл";Астраханская обл.
901;1450000;1459999;10000;ООО "Т2 Мобайл";Калужская обл.
901;1460000;1464999;5000;ОАО "МТТ";Челябинская обл.
901;1465000;1469999;5000;ОАО "МТТ";Воронежская обл.
901;1470000;1474999;5000;ООО "Т2 Мобайл";Калужская обл.
901;1480000;1484999;5000;ОАО "МТТ";Самарская обл.
901;1485000;1489999;5000;ОАО "МТТ";Ростовская обл.
901;1490000;1509999;20000;ООО "Т2 Мобайл";Свердловская обл.
901;1510000;1519999;10000;ООО "Сбербанк-Телеком";г. Москва * Московская область
901;1520000;1529999;10000;ПАО "Мобильные ТелеСистемы";Республика Башкортостан
901;1530000;1534999;5000;ОАО "МТТ";Республика Татарстан
901;1535000;1539999;5000;ОАО "МТТ";Новосибирская обл.
901;1540000;1545999;6000;ООО "Т2 Мобайл";Республика Коми
901;1546000;1549999;4000;ООО "Т2 Мобайл";Республика Марий Эл
901;1550000;1559999;10000;ОАО "МТТ";Свердловская обл.
901;1560000;1569999;10000;ООО "Т2 Мобайл";Тюменская обл.
901;1570000;1579999;10000;ООО "Т2 Мобайл";Удмуртская Республика
901;1580000;1589999;10000;АО "АПЕКС";Челябинская обл.
901;1590000;1594999;5000;ОАО "МТТ";Нижегородская обл.
901;1595000;1599999;5000;ОАО "МТТ";Краснодарский край
901;1600000;1603999;4000;ООО "Т2 Мобайл";Республика Мордовия
901;1604000;1609999;6000;ООО "Т2 Мобайл";Калининградская обл.
901;1610000;1619999;10000;ООО "Т2 Мобайл";Владимирская обл.
901;1620000;1629999;10000;ООО "Т2 Мобайл";Республика Татарстан
901;1630000;1639999;10000;ООО "Т2 Мобайл";Удмуртская Республика
901;1640000;1641999;2000;ООО "Т2 Мобайл";Республика Хакасия
901;1642000;1643999;2000;ООО "Т2 Мобайл";Республика Тыва
901;1644000;1651999;8000;ООО "Т2 Мобайл";Чувашская Республика
901;1652000;1659999;8000;ООО "Т2 Мобайл";Алтайский край
901;1660000;1669999;10000;ООО "Т2 Мобайл";Краснодарский край
901;1670000;1673999;4000;ООО "Т2 Мобайл";Республика Алтай
901;1674000;1687999;14000;ООО "Т2 Мобайл";Красноярский край
901;1688000;1693999;6000;ООО "Т2 Мобайл";Хабаровский край
901;1694000;1699999;6000;ООО "Т2 Мобайл";Новгородская обл.
901;1700000;1799999;100000;ООО "Т2 Мобайл";Ярославская обл.
901;1800000;1899999;100000;ООО "Т2 Мобайл";г. Москва и Московская область
901;1900000;1909999;10000;ООО "Т2 Мобайл";Тверская обл.
901;1910000;1919999;10000;ООО "Т2 Мобайл";Ивановская обл.
901;1920000;1929999;10000;ООО "Т2 Мобайл";Владимирская обл.
901;1930000;1939999;10000;ООО "Т2 Мобайл";Воронежская обл.
901;1940000;1949999;10000;ООО "Т2 Мобайл";Ивановская обл.
901;1950000;1959999;10000;ООО "Т2 Мобайл";Ярославская обл.
901;1960000;1979999;20000;ООО "Т2 Мобайл";Костромская обл.
901;1980000;1989999;10000;ООО "Т2 Мобайл";Тульская обл.
901;1990000;1999999;10000;ООО "Т2 Мобайл";Ярославская обл.
901;2000000;2009999;10000;ООО "Т2 Мобайл";Республика Тыва
901;2010000;2019999;10000;ООО "Т2 Мобайл";Свердловская обл.
901;2020000;2029999;10000;ОАО "МТТ";г. Москва * Московская область
901;2030000;2049999;20000;ПАО "Ростелеком";Тамбовская обл.
901;2050000;2099999;50000;ООО "Т2 Мобайл";Алтайский край
901;2100000;2109999;10000;ООО "Т2 Мобайл";Свердловская обл.
901;2110000;2119999;10000;ОАО "МТТ";г. Москва * Московская область
901;2120000;2127999;8000;ООО "Т2 Мобайл";Республика Бурятия
901;2128000;2135999;8000;ООО "Т2 Мобайл";Архангельская обл.
901;2136000;2145999;10000;ООО "Т2 Мобайл";Белгородская обл.
901;2146000;2153999;8000;ООО "Т2 Мобайл";Владимирская обл.
901;2154000;2163999;10000;ООО "Т2 Мобайл";Волгоградская обл.
901;2164000;2173999;10000;ООО "Т2 Мобайл";Воронежская обл.
901;2174000;2177999;4000;ООО "Т2 Мобайл";Ивановская обл.
901;2178000;2183999;6000;ООО "Т2 Мобайл";Костромская обл.
901;2184000;2189999;6000;ООО "Т2 Мобайл";Мурманская обл.
901;2190000;2199999;10000;ООО "Т2 Мобайл";Иркутская обл.
901;2200000;2209999;10000;ООО "Т2 Мобайл";Свердловская обл.
901;2210000;2219999;10000;ОАО "МТТ";г. Москва * Московская область
901;2220000;2229999;10000;ОАО "МТТ";г. Москва * Московская область
901;2230000;2237999;8000;ООО "Т2 Мобайл";Калужская обл.
901;2238000;2241999;4000;ООО "Т2 Мобайл";Камчатский край
901;2242000;2249999;8000;ООО "Т2 Мобайл";Кировская обл.
901;2250000;2253999;4000;ООО "Т2 Мобайл";Курганская обл.
901;2254000;2263999;10000;ООО "Т2 Мобайл";Курская обл.
901;2264000;2273999;10000;ООО "Т2 Мобайл";Липецкая обл.
901;2274000;2283999;10000;ООО "Т2 Мобайл";Нижегородская обл.
901;2284000;2289999;6000;ООО "Т2 Мобайл";Орловская обл.
901;2290000;2299999;10000;ОАО "МТТ";г. Москва * Московская область
901;2300000;2309999;10000;ООО "Т2 Мобайл";Свердловская обл.
901;2310000;2319999;10000;ООО "Т2 Мобайл";Новосибирская обл.
901;2320000;2329999;10000;ООО "Т2 Мобайл";Свердловская обл.
901;2330000;2339999;10000;ОАО "МТТ";Ростовская обл.
901;2340000;2349999;10000;ООО "Лайкамобайл";г. Москва * Московская область
901;2350000;2399999;50000;ООО "Т2 Мобайл";Республика Хакасия
901;2400000;2419999;20000;ООО "Т2 Мобайл";Красноярский край
901;2420000;2439999;20000;ООО "Т2 Мобайл";Кировская обл.
901;2440000;2449999;10000;ОАО "МТТ";г. Москва * Московская область
901;2500000;2539999;40000;АО "АПЕКС";Челябинская обл.
901;2540000;2559999;20000;ОАО "МТТ";г. Москва * Московская область
901;2600000;2619999;20000;ПАО "Мобильные ТелеСистемы";Ханты-Мансийский АО - Югра
901;2620000;2639999;20000;ООО "Т2 Мобайл";Омская обл.
901;2640000;2649999;10000;ООО "Т2 Мобайл";Омская обл.
901;2650000;2699999;50000;ООО "Т2 Мобайл";Пермский край
901;2700000;2799999;100000;ООО "Т2 Мобайл";Ярославская обл.
901;2800000;2899999;100000;ООО "Т2 Мобайл";Ивановская обл.
901;2900000;2909999;10000;ООО "Т2 Мобайл";Ивановская обл.
901;2910000;2913999;4000;ООО "Т2 Мобайл";Магаданская обл.
901;2914000;2921999;8000;ООО "Т2 Мобайл";Оренбургская обл.
901;2922000;2929999;8000;ООО "Т2 Мобайл";Брянская обл.
901;2930000;2937999;8000;ООО "Т2 Мобайл";Рязанская обл.
901;2938000;2941999;4000;ООО "Т2 Мобайл";Сахалинская обл.
901;2942000;2949999;8000;ООО "Т2 Мобайл";Смоленская обл.
901;2950000;2957999;8000;ООО "Т2 Мобайл";Тамбовская обл.
901;2958000;2965999;8000;ООО "Т2 Мобайл";Тверская обл.
901;2966000;2973999;8000;ООО "Т2 Мобайл";Томская обл.
901;2974000;2981999;8000;ООО "Т2 Мобайл";Тюменская обл.
901;2982000;2989999;8000;ООО "Т2 Мобайл";Ульяновская обл.
901;2990000;2999999;10000;ООО "Т2 Мобайл";Ярославская обл.
901;3000000;3299999;300000;ООО "Т2 Мобайл";г. Санкт-Петербург * Ленинградская область
901;3300000;3699999;400000;ООО "Т2 Мобайл";г. Москва и Московская область
901;3700000;3799999;100000;ООО "Т2 Мобайл";г. Санкт-Петербург * Ленинградская область
901;3800000;3899999;100000;ООО "Т2 Мобайл";г. Москва и Московская область
901;3900000;3909999;10000;ООО "Т2 Мобайл";Калининградская обл.
901;3910000;3999999;90000;ООО "Т2 Мобайл";г. Санкт-Петербург * Ленинградская область
901;4000000;4099999;100000;ООО "Т2 Мобайл";г. Москва и Московская область
901;4100000;4109999;10000;ООО "Т2 Мобайл";Удмуртская Республика
901;4110000;4119999;10000;ОАО "МТТ";г. Москва * Московская область
901;4120000;4129999;10000;ООО "Т2 Мобайл";Удмуртская Республика
901;4130000;4149999;20000;ООО "Т2 Мобайл";Свердловская обл.
901;4150000;4169999;20000;ПАО "Мобильные ТелеСистемы";Республика Башкортостан
901;4180000;4189999;10000;ПАО "Мобильные ТелеСистемы";Республика Башкортостан
901;4190000;4199999;10000;ООО "Т2 Мобайл";Кировская обл.
901;4200000;4299999;100000;ООО "Т2 Мобайл";г. Москва и Московская область
901;4300000;4399999;100000;ООО "Т2 Мобайл";Свердловская обл.
901;4400000;4429999;30000;ПАО "Мобильные ТелеСистемы";Республика Башкортостан
901;4430000;4439999;10000;ОАО "МТТ";г. Москва * Московская область
901;4440000;4449999;10000;ООО "Т2 Мобайл";Владимирская обл.
901;4450000;4459999;10000;ООО "Т2 Мобайл";Камчатский край
901;4460000;4469999;10000;ООО "Т2 Мобайл";Ростовская обл.
901;4470000;4489999;20000;ОАО "МТТ";г. Москва * Московская область
901;4490000;4499999;10000;ООО "Т2 Мобайл";Кировская обл.
901;4500000;4529999;30000;ООО "Т2 Мобайл";Новосибирская обл.
901;4530000;4549999;20000;ООО "Т2 Мобайл";Свердловская обл.
901;4550000;4559999;10000;ООО "Т2 Мобайл";Удмуртская Республика
901;4560000;4569999;10000;ООО "Т2 Мобайл";Ростовская обл.
901;4570000;4579999;10000;ООО "Т2 Мобайл";Удмуртская Республика
901;4580000;4599999;20000;ООО "Т2 Мобайл";Новосибирская обл.
901;4600000;4609999;10000;ООО "Т2 Мобайл";Хабаровский край
901;4610000;4619999;10000;ООО "Т2 Мобайл";г. Москва и Московская область
901;4620000;4639999;20000;ООО "Т2 Мобайл";Хабаровский край
901;4640000;4649999;10000;ООО "Т2 Мобайл";г. Москва и Московская область
901;4650000;4669999;20000;ООО "Т2 Мобайл";Хабаровский край
901;4670000;4679999;10000;ОАО "МТТ";Новосибирская обл.
901;4700000;4709999;10000;ООО "Т2 Мобайл";г. Москва и Московская область
901;4710000;4719999;10000;ООО "Т2 Мобайл";Кировская обл.
901;4720000;4729999;10000;ООО "Т2 Мобайл";Пензенская обл.
901;4750000;4769999;20000;ПАО "Мобильные ТелеСистемы";Республика Башкортостан
901;4770000;4779999;10000;ОАО "МТТ";г. Москва * Московская область
901;4780000;4789999;10000;ПАО "Мобильные ТелеСистемы";Республика Башкортостан
901;4790000;4799999;10000;ООО "Т2 Мобайл";Кировская обл.
901;4800000;4809999;10000;ООО "Т2 Мобайл";Костромская обл.
901;4810000;4819999;10000;ООО "Т2 Мобайл";Рязанская обл.
901;4820000;4839999;20000;ООО "Т2 Мобайл";Ивановская обл.
901;4840000;4849999;10000;ООО "Т2 Мобайл";Костромская обл.
901;4850000;4869999;20000;ООО "Т2 Мобайл";Ярославская обл.
901;4870000;4889999;20000;ООО "Т2 Мобайл";Тверская обл.
901;4890000;4939999;50000;ООО "Т2 Мобайл";Краснодарский край
901;4950000;4959999;10000;ООО "Т2 Мобайл";Ростовская обл.
901;4960000;4969999;10000;ООО "Т2 Мобайл";Ростовская обл.
901;4970000;4979999;10000;ООО "Т2 Мобайл";Республика Северная Осетия - Алания
901;4990000;4999999;10000;ОАО "МТТ";г. Москва * Московская область
901;5000000;5999999;1000000;ООО "Т2 Мобайл";г. Москва и Московская область
901;6000000;6009999;10000;ООО "Т2 Мобайл";Республика Хакасия
901;6010000;6019999;10000;ООО "Т2 Мобайл";Пермский край
901;6020000;6029999;10000;ООО "Т2 Мобайл";Самарская обл.
901;6030000;6039999;10000;ООО "Т2 Мобайл";Саратовская обл.
901;6040000;6049999;10000;ООО "Т2 Мобайл";Тульская обл.
901;6050000;6059999;10000;ООО "Т2 Мобайл";Челябинская обл.
901;6060000;6069999;10000;ООО "Т2 Мобайл";Ханты - Мансийский - Югра АО
901;6070000;6149999;80000;ООО "Т2 Мобайл";Томская обл.
901;6150000;6169999;20000;ООО "Т2 Мобайл";Кемеровская обл.
901;6170000;6189999;20000;ООО "Т2 Мобайл";Томская обл.
901;6190000;6199999;10000;ООО "Т2 Мобайл";Кемеровская обл.
901;6210000;6219999;10000;ООО "Т2 Мобайл";Красноярский край
901;6220000;6229999;10000;ОАО "МТТ";г. Москва * Московская область
901;6230000;6259999;30000;ООО "Т2 Мобайл";Красноярский край
901;6260000;6284999;25000;ООО "ДЭНИ КОЛЛ";г. Москва * Московская область
901;6285000;6287499;2500;ООО "ДЭНИ КОЛЛ";Тюменская обл.
901;6289000;6289999;1000;ООО "Т2 Мобайл";Еврейская автономная обл.
901;6290000;6299999;10000;ООО "Т2 Мобайл";Кемеровская обл.
901;6300000;6344999;45000;ООО "Т2 Мобайл";Иркутская обл.
901;6350000;6359999;10000;ООО "Т2 Мобайл";Калужская обл.
901;6400000;6419999;20000;ООО "Т2 Мобайл";Иркутская обл.
901;6420000;6424999;5000;ООО "Т2 Мобайл";Алтайский край
901;6425000;6432999;8000;ООО "Т2 Мобайл";Ямало-Ненецкий АО
901;6433000;6436999;4000;ООО "Т2 Мобайл";Ярославская обл.
901;6437000;6439999;3000;ООО "Т2 Мобайл";Еврейская автономная обл.
901;6440000;6449999;10000;ООО "Т2 Мобайл";Республика Тыва
901;6450000;6459999;10000;ООО "Т2 Мобайл";Алтайский край
901;6460000;6479999;20000;ООО "Т2 Мобайл";Красноярский край
901;6480000;6499999;20000;ООО "Т2 Мобайл";г. Москва * Московская область
901;6500000;6749999;250000;ООО "Т2 Мобайл";Иркутская обл.
901;6750000;6799999;50000;ООО "Т2 Мобайл";Республика Тыва
901;6800000;6899999;100000;ООО "Т2 Мобайл";Ивановская обл.
901;6900000;6999999;100000;ООО "Т2 Мобайл";Ивановская обл.
901;7000000;7999999;1000000;ООО "Т2 Мобайл";г. Москва и Московская область
901;8000000;8019999;20000;ООО "Т2 Мобайл";Нижегородская обл.
901;8020000;8039999;20000;ООО "Т2 Мобайл";Самарская обл.
901;8040000;8079999;40000;ООО "Т2 Мобайл";Саратовская обл.
901;8080000;8089999;10000;ОАО "МТТ";г. Москва * Московская область
901;8090000;8099999;10000;ПАО "Ростелеком";Брянская обл.
901;8100000;8199999;100000;ПАО "Мобильные ТелеСистемы";Республика Башкортостан
901;8200000;8219999;20000;ООО "Т2 Мобайл";Саратовская обл.
901;8220000;8229999;10000;ООО "Т2 Мобайл";Оренбургская обл.
901;8470000;8479999;10000;ООО "Т2 Мобайл";Ульяновская обл.
901;8500000;8599999;100000;ООО "Т2 Мобайл";Свердловская обл.
901;8600000;8699999;100000;ООО "Т2 Мобайл";Удмуртская Республика
901;8700000;8719999;20000;ООО "Т2 Мобайл";Нижегородская обл.
901;8880000;8889999;10000;ООО "Т2 Мобайл";Владимирская обл.
901;8890000;8989999;100000;ООО "Т2 Мобайл";Оренбургская обл.
901;8990000;8999999;10000;ОАО "МТТ";г. Москва * Московская область
901;9000000;9099999;100000;ООО "Т2 Мобайл";г. Москва и Московская область
901;9100000;9109999;10000;ПАО "Ростелеком";Липецкая обл.
901;9110000;9119999;10000;ООО "Т2 Мобайл";Красноярский край
901;9220000;9229999;10000;ОАО "МТТ";г. Санкт-Петербург * Ленинградская область
901;9230000;9239999;10000;ООО "Т2 Мобайл";Забайкальский край
901;9290000;9299999;10000;ООО "Т2 Мобайл";Кемеровская обл.
901;9300000;9309999;10000;ООО "Т2 Мобайл";Хабаровский край
901;9310000;9313999;4000;ООО "Газпром телеком";г. Москва * Московская область
901;9320000;9329999;10000;ООО "Т2 Мобайл";Еврейская автономная обл.
901;9330000;9339999;10000;ООО "Т2 Мобайл";Камчатский край
901;9340000;9349999;10000;ООО "Т2 Мобайл";Приморский край
